# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.200000,0.976572,0.000000,0.000000,-27.499265,37.659799,20.836126,7.935889,2.598307,0.205008,0.000000,0.000000,69.212819,-141.952774,-46.983843,-9.283445,-0.803894,0.699922,0.000000,0.000000,0.001502,-0.001271,-0.000902,-0.000399,-0.000145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.824042,-1.911708,-5.586395,12.378272,-7.939943,-7.754986,-3.573918,-1.309619,0.515947,3.368994,3.472113,-64.673307,100.882359,34.731112,9.123450,2.024872,0.699932,0.000131,0.000513,0.000052,-0.001219,-0.000428,-0.000133,-0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.301840,-2.984440,-0.779991,2.279158,1.276899,2.897210,1.520744,0.592775,0.984380,0.521551,-8.109046,31.498170,-48.958341,-20.463873,-6.462927,-1.792939,0.699977,0.000300,0.000214,-0.001117,0.000240,0.000292,0.000148,0.000058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.304939,-2.955714,1.166217,4.736076,1.060024,-1.677170,-1.110932,-0.478471,0.930995,-0.685877,-2.764415,-16.988525,30.593140,16.224915,6.105350,1.980684,0.700037,0.000262,-0.000371,-0.000782,0.000844,0.000450,0.000181,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.810463,-1.902742,4.098218,4.708684,-6.871056,-2.852750,-0.972020,-0.298629,0.601892,-2.708876,-4.157344,15.063727,-12.950086,-10.130901,-4.457450,-1.597458,0.700070,0.000051,-0.000597,0.000106,0.000576,0.000212,0.000067,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-1.001386,0.056891,5.020819,-2.101507,0.044262,0.272382,0.125962,0.043191,-0.009935,-3.068891,0.844685,-0.151352,4.687931,5.269531,2.527047,0.945027,0.700059,-0.000155,-0.000377,0.000663,0.000024,-0.000080,-0.000051,-0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.805820,1.816895,3.795642,-1.934572,-3.224439,-1.700852,-0.669162,-0.227427,-0.581775,-2.551733,2.367539,6.164054,-2.730005,-4.551784,-2.390748,-0.942662,0.700018,-0.000226,0.000019,0.000641,-0.000348,-0.000223,-0.000099,-0.000037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.311841,2.984827,1.707377,-5.314266,-0.738280,0.641222,0.459637,0.203050,-0.954098,-0.993818,4.982915,1.724027,-5.834380,-0.873634,0.082267,0.119466,0.699978,-0.000154,0.000300,0.000255,-0.000396,-0.000192,-0.000075,-0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.309961,3.012544,-1.594677,-5.563488,3.102420,1.775575,0.734166,0.259282,-0.949360,1.012753,4.549967,-3.273077,1.500573,-0.084830,-0.246021,-0.135089,0.699960,-0.000018,0.000341,-0.000152,-0.000214,-0.000068,-0.000020,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.809757,1.822063,-4.026781,-2.239337,1.848069,0.970014,0.401509,0.144009,-0.588639,2.486778,2.932659,-2.153479,-5.646702,-2.062479,-0.602294,-0.154930,0.699969,0.000093,0.000192,-0.000353,0.000018,0.000051,0.000027,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
