# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.400000,0.272435,0.000000,-0.000000,-35.032150,76.724624,-1.722481,-39.609395,-41.917241,0.129695,0.000000,-0.000000,32.730585,-105.509437,33.583765,63.200285,45.616548,0.149954,0.000000,-0.000000,50.711070,-133.887762,33.008185,72.968266,54.798378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-0.254028,-1.029858,6.290780,-3.286595,-0.408552,-0.270462,-4.766872,-5.859429,0.200915,-1.810070,-6.440456,39.418302,-56.346824,5.877836,24.692287,21.324983,0.694599,0.345444,-6.750071,31.802475,-66.158744,12.344568,36.431912,31.798736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.087858,1.825113,-1.308930,-15.724661,16.360803,9.031802,-2.737399,-8.009037,-0.277025,0.414451,4.597933,9.381234,-46.116669,6.816330,30.111504,30.011552,0.422193,-1.995849,-3.371117,20.824308,-40.048998,5.272757,25.329792,24.779573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,0.089084,-1.823252,-1.465223,14.223538,-11.644187,1.027420,1.331369,-1.026614,0.286543,0.372954,-6.037636,11.933766,-25.242322,8.069951,25.289615,24.630623,-0.409681,-2.007963,1.600818,19.806953,-49.233370,6.035928,36.224375,38.117395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400000,-0.248145,1.034829,5.372635,-1.978982,-40.352406,17.742375,41.483241,39.321841,-0.186162,-1.898025,4.222804,38.897718,-113.933567,8.075469,85.399965,95.397469,-0.676830,0.267413,4.075046,31.211433,-113.131668,12.623500,94.773548,105.122543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
