2.714282341864807102e-01,1.196950000000000097e-01,7.893799999999999428e-02,-1.006765813519285430e-01,-1.000000000000000000e+00,1.100000000000000089e+00,2.724007348839633247e-01,1.297266789126629571e-01,6.796222968748406867e-02,-1.020285668710768819e-02,9.398855179736835888e-03,7.207763942028840194e-03
2.708252605754341014e-01,1.139500821304321454e-01,8.630572680282591613e-02,-6.029736110465986482e-02,-5.744917869567871538e-01,7.367726802825929067e-01,2.721670106392454214e-01,1.299400747413354262e-01,6.812695901917871499e-02,-3.958554929610796913e-02,3.592850090968550264e-02,2.785732294851456237e-02
2.702657763609596087e-01,1.108954837989807318e-01,9.151389888572691866e-02,-5.594842144744856249e-02,-3.054598331451416349e-01,5.208172082901002531e-01,2.721670106392454214e-01,1.299400747413354262e-01,6.812695901917871499e-02,-3.958554929610796913e-02,3.592850090968550264e-02,2.785732294851456237e-02
2.696683360949566621e-01,1.094220925045013559e-01,9.543226412582396512e-02,-5.974402660029394518e-02,-1.473391294479370339e-01,3.918365240097047564e-01,2.703890119475829135e-01,1.315233586009985911e-01,6.937227642029587804e-02,-1.485604018762219647e-01,1.305664024927682410e-01,1.037243251999334231e-01
2.686470303318414521e-01,1.091106653881073196e-01,9.881692270088195118e-02,-1.021305763115213650e-01,-3.114271163940431075e-02,3.384658575057984953e-01,2.685343202300460863e-01,1.331384072126937657e-01,7.066443820245311980e-02,-2.245114928451094061e-01,1.938976515005625123e-01,1.561226899931250078e-01
2.671854693440214867e-01,1.096420454454422183e-01,1.021456889276504409e-01,-1.461560987819956192e-01,5.313800573348997913e-02,3.328766226768495318e-01,2.658591019684334866e-01,1.354265951617807662e-01,7.252075734575780253e-02,-3.123672530616846688e-01,2.648161576533403783e-01,2.163302348921510021e-01
2.652182680282710869e-01,1.108719043207168770e-01,1.057424411540031362e-01,-1.967201315750406743e-01,1.229858875274658092e-01,3.596752226352693538e-01,2.622532305862068647e-01,1.384525644286833668e-01,7.501261242611133306e-02,-4.103471544275139049e-01,3.410872744270366241e-01,2.830097828402199922e-01
2.626319045106392802e-01,1.127660585713386732e-01,1.097844673757552986e-01,-2.586363517631815601e-01,1.894154250621795654e-01,4.042026221752168524e-01,2.576242731397982988e-01,1.422589644854917457e-01,7.819817949508567345e-02,-5.166936850225889444e-01,4.205481349898403942e-01,3.548585309333913140e-01
2.592944741890752525e-01,1.153335434865951775e-01,1.143772653107643089e-01,-3.337430321564005542e-01,2.567484915256500466e-01,4.592797935009004240e-01,2.576242731397982988e-01,1.422589644854917457e-01,7.819817949508567345e-02,-5.166936850225889444e-01,4.205481349898403942e-01,3.548585309333913140e-01
2.556601090244479124e-01,1.183313945901394160e-01,1.194714309935569763e-01,-3.634365164627360034e-01,2.997851103544235674e-01,5.094165682792665129e-01,2.518972392074522171e-01,1.468672001253888970e-01,8.212279177886100401e-02,-6.296765741905829827e-01,5.011136970208286412e-01,4.306112629278511794e-01
