1.296950000000000047e-01,1.647049999999999903e-01,6.999980000000000091e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,1.296950000000000047e-01,1.647049999999999903e-01,6.999980000000000091e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.294904346732928535e-01,1.646330306510006836e-01,7.019854439673469670e-01,-2.045653267071612449e-02,-7.196934899931177639e-03,1.987443967346941842e-01,-2.045653267071612547e+00,-7.196934899931177743e-01,1.987443967346941776e+01,1.297266789126629571e-01,1.648427691172643927e-01,6.999980002276834368e-01,9.398855179736835888e-03,4.017460844696339739e-02,6.797274813500000029e-08,1.837914602575001499e+00,7.577528395493556168e+00,1.346150414100000199e-05
1.297043661245267931e-01,1.656052681647822988e-01,7.038709216356094922e-01,2.139314512339496668e-02,9.722375137816209600e-02,1.885477668262516282e-01,4.184967779411109312e+00,1.044206862780932710e+01,-1.019662990844256711e+00,1.299400747413354262e-01,1.657166816286274325e-01,6.999980017948339572e-01,3.592850090968550264e-02,1.429065660618235589e-01,2.665567638400000159e-07,3.426907797032051395e+00,1.256172203591538583e+01,2.612103331200000509e-05
1.304977478327815354e-01,1.683268232335288772e-01,7.057434070961412509e-01,7.933817082547513222e-02,2.721555068746565054e-01,1.872485460531708445e-01,5.794502570208016401e+00,1.749317554964944321e+01,-1.299220773080778102e-01,1.299400747413354262e-01,1.657166816286274325e-01,6.999980017948339572e-01,3.592850090968550264e-02,1.429065660618235589e-01,2.665567638400000159e-07,3.426907797032051395e+00,1.256172203591538583e+01,2.612103331200000509e-05
1.316143303109474638e-01,1.710587570009069747e-01,7.075262496683885072e-01,1.116582478165931425e-01,2.731933767378087463e-01,1.782842572247273216e-01,3.232007699111800303e+00,1.037869863152267313e-01,-8.964288828443534030e-01,1.315233586009985911e-01,1.714471470265342412e-01,6.999980139302224291e-01,1.305664024927682410e-01,4.412787951556321753e-01,1.023270748160000067e-06,5.877596398337638028e+00,1.594220795059794327e+01,4.900683878400000494e-05
1.334088918386893141e-01,1.768173022334287581e-01,7.087516993609590532e-01,1.794561527741843077e-01,5.758545232521774526e-01,1.225449692570491356e-01,6.779790495759114854e+00,3.026611465143686530e+01,-5.573928796767817495e+00,1.331384072126937657e-01,1.766466011262179669e-01,6.999980267869414519e-01,1.938976515005625123e-01,5.969017212430157704e-01,1.565097109375000386e-06,6.750300573129999648e+00,1.492070683136188336e+01,5.922119062500000503e-05
1.361490162751583799e-01,1.841299455781362504e-01,7.102051976528738209e-01,2.740124436469070224e-01,7.312643344707492332e-01,1.453498291914806506e-01,9.455629087272273026e+00,1.554098112185718250e+01,2.280485993443150949e+00,1.354265951617807662e-01,1.833262037079129714e-01,6.999980455588982187e-01,2.648161576533403783e-01,7.349235876782399535e-01,2.204942074560000377e-06,7.396146857172441358e+00,1.246812428793791483e+01,6.860982441600000552e-05
1.394507512012636563e-01,1.926482285933332483e-01,7.114027189304578114e-01,3.301734926105264201e-01,8.518283015196996821e-01,1.197521277584025767e-01,5.616104896361937548e+00,1.205639670489504311e+01,-2.559770143307806833e+00,1.384525644286833668e-01,1.912429669566310664e-01,6.999980711849228543e-01,3.410872744270366241e-01,8.424029786421015631e-01,2.934527823815000965e-06,7.822018642338890437e+00,8.856859045777945028e+00,7.716875558700000807e-05
1.434221307147023339e-01,2.016798987872050197e-01,7.122124799664265593e-01,3.971379513438674236e-01,9.031670193871770280e-01,8.097610359687543169e-02,6.696445873334100796e+00,5.133871786747730148e+00,-3.877602416152714504e+00,1.422589644854917457e-01,2.000379562398018618e-01,6.999981045208826247e-01,4.205481349898403942e-01,9.090762368956502026e-01,3.745541079040000718e-06,8.035392306996428147e+00,4.349884105303662984e+00,8.489488588800001923e-05
1.481275746186897224e-01,2.109962521643229949e-01,7.130153411131423535e-01,4.705443903987391319e-01,9.316353377117961854e-01,8.028611467158480730e-02,7.340643905487169718e+00,2.846831832461915290e+00,-6.899889252906188375e-02,1.422589644854917457e-01,2.000379562398018618e-01,6.999981045208826247e-01,4.205481349898403942e-01,9.090762368956502026e-01,3.745541079040000718e-06,8.035392306996428147e+00,4.349884105303662984e+00,8.489488588800001923e-05
